city,zone,season,disruption_freq,infrastructure,is_rural,activity_tier,poverty_score,premium
Bengaluru,medium,monsoon,7,good,False,low,0.31,27
Mumbai,critical,monsoon,9,average,False,high,0.78,50
Nagpur,medium,spring,6,poor,True,high,0.91,45
Bengaluru,medium,spring,7,good,False,medium,0.7,25
Chennai,high,summer,11,average,False,low,0.87,38
Mumbai,critical,summer,9,average,False,medium,0.44,49
Delhi,medium,summer,8,good,False,medium,0.78,28
Chennai,high,monsoon,11,average,False,medium,0.78,49
Delhi,medium,winter,6,good,False,low,0.38,20
Hyderabad,low,monsoon,7,average,False,low,0.91,22
Bengaluru,medium,summer,8,good,False,high,0.5,30
Bhubaneswar,high,summer,8,poor,True,low,0.99,53
Bengaluru,medium,monsoon,4,good,False,low,0.71,28
Pune,low,monsoon,8,average,False,high,0.78,27
Pune,low,summer,6,average,False,high,0.56,22
Chennai,high,monsoon,10,average,False,high,0.52,50
Mumbai,critical,summer,12,average,False,high,0.93,50
Patna,critical,winter,13,poor,True,medium,0.77,61
Bengaluru,medium,winter,5,good,False,low,0.36,20
Hyderabad,low,winter,6,average,False,high,0.69,20
Hyderabad,low,spring,7,average,False,low,0.85,20
Pune,low,summer,8,average,False,medium,0.98,22
Bhubaneswar,high,summer,10,poor,True,low,0.68,52
Delhi,medium,winter,9,good,False,high,0.83,26
Chennai,high,summer,11,average,False,medium,0.58,41
Bhubaneswar,high,monsoon,12,poor,True,high,0.36,65
Mumbai,critical,spring,13,average,False,high,0.92,50
Chennai,high,winter,7,average,False,high,0.83,37
Kolkata,high,spring,10,poor,False,high,0.56,49
Pune,low,winter,5,average,False,medium,0.53,20
Mumbai,critical,summer,13,average,False,medium,0.63,50
Bhubaneswar,high,spring,11,poor,True,high,0.88,60
Pune,low,summer,6,average,False,high,0.47,21
Patna,critical,winter,13,poor,True,high,0.36,65
Chennai,high,monsoon,11,average,False,medium,0.86,49
Hyderabad,low,spring,7,average,False,low,0.94,20
Bengaluru,medium,winter,6,good,False,high,0.67,24
Patna,critical,summer,10,poor,True,high,0.79,65
Mumbai,critical,spring,9,average,False,low,0.5,40
Nagpur,medium,monsoon,8,poor,True,high,0.49,56
Bengaluru,medium,monsoon,5,good,False,medium,0.49,31
Hyderabad,low,summer,6,average,False,low,0.79,20
Chennai,high,summer,7,average,False,high,0.87,45
Mumbai,critical,summer,10,average,False,low,0.81,46
Patna,critical,monsoon,11,poor,True,medium,0.91,65
Hyderabad,low,winter,3,average,False,medium,0.87,20
Chennai,high,winter,11,average,False,medium,0.57,34
Kolkata,high,winter,10,poor,False,high,0.89,46
Delhi,medium,summer,8,good,False,low,0.49,24
Pune,low,monsoon,7,average,False,high,0.67,26
Hyderabad,low,monsoon,5,average,False,high,0.71,26
Hyderabad,low,summer,4,average,False,medium,0.56,20
Hyderabad,low,monsoon,3,average,False,medium,0.48,22
Bengaluru,medium,monsoon,4,good,False,high,0.83,35
Delhi,medium,spring,7,good,False,medium,0.66,25
Kolkata,high,winter,10,poor,False,medium,0.9,41
Kolkata,high,spring,12,poor,False,medium,0.91,46
Patna,critical,summer,14,poor,True,high,0.75,65
Mumbai,critical,winter,12,average,False,medium,0.55,42
Delhi,medium,monsoon,8,good,False,low,0.93,30
Bengaluru,medium,summer,4,good,False,low,0.58,23
Pune,low,monsoon,6,average,False,high,0.96,28
Bengaluru,medium,monsoon,4,good,False,medium,0.84,32
Bengaluru,medium,spring,8,good,False,medium,0.73,25
Delhi,medium,summer,8,good,False,low,0.47,24
Mumbai,critical,winter,9,average,False,low,0.39,36
Kolkata,high,spring,11,poor,False,high,0.93,50
Mumbai,critical,winter,13,average,False,medium,0.72,43
Mumbai,critical,winter,13,average,False,high,0.54,47
Bhubaneswar,high,summer,12,poor,True,medium,0.38,58
Patna,critical,spring,11,poor,True,medium,0.55,65
Bhubaneswar,high,summer,10,poor,True,high,0.36,63
Patna,critical,monsoon,12,poor,True,low,0.56,65
Chennai,high,monsoon,10,average,False,high,0.36,50
Mumbai,critical,summer,12,average,False,low,0.68,46
Nagpur,medium,monsoon,6,poor,True,low,0.67,45
Delhi,medium,summer,7,good,False,medium,0.4,26
Mumbai,critical,winter,11,average,False,low,0.89,39
Delhi,medium,monsoon,8,good,False,low,0.47,28
Patna,critical,winter,14,poor,True,medium,0.69,61
Chennai,high,winter,8,average,False,medium,0.38,32
Chennai,high,summer,10,average,False,high,0.78,46
Mumbai,critical,summer,13,average,False,medium,0.36,50
Kolkata,high,monsoon,8,poor,False,low,0.57,50
Hyderabad,low,monsoon,6,average,False,medium,0.73,24
Nagpur,medium,winter,9,poor,True,medium,0.72,36
Chennai,high,summer,11,average,False,medium,0.56,41
Bengaluru,medium,monsoon,6,good,False,medium,0.5,31
Nagpur,medium,winter,5,poor,True,low,0.34,29
Nagpur,medium,summer,8,poor,True,low,0.93,40
Bengaluru,medium,spring,6,good,False,low,0.87,23
Chennai,high,monsoon,9,average,False,medium,0.95,49
Nagpur,medium,monsoon,7,poor,True,high,0.84,57
Kolkata,high,monsoon,11,poor,False,low,0.44,50
Bengaluru,medium,summer,7,good,False,low,0.8,25
Kolkata,high,summer,10,poor,False,low,0.64,43
Mumbai,critical,summer,10,average,False,medium,0.68,50
Bhubaneswar,high,spring,9,poor,True,high,0.78,59
Bengaluru,medium,summer,8,good,False,high,0.83,31
Nagpur,medium,monsoon,7,poor,True,medium,0.37,49
Hyderabad,low,monsoon,6,average,False,medium,0.39,22
Nagpur,medium,winter,5,poor,True,medium,0.43,34
Mumbai,critical,summer,12,average,False,high,0.4,50
Patna,critical,summer,13,poor,True,medium,0.88,65
Hyderabad,low,summer,5,average,False,low,0.74,20
Bengaluru,medium,summer,8,good,False,medium,0.57,27
Nagpur,medium,spring,7,poor,True,high,0.51,43
Pune,low,winter,4,average,False,high,0.55,20
Pune,low,monsoon,8,average,False,low,0.68,22
Kolkata,high,monsoon,10,poor,False,low,0.81,50
Bhubaneswar,high,spring,11,poor,True,low,0.92,49
Chennai,high,spring,9,average,False,high,0.41,40
Chennai,high,summer,11,average,False,low,0.82,38
Bengaluru,medium,monsoon,5,good,False,medium,0.65,31
Bhubaneswar,high,summer,12,poor,True,low,0.57,52
Nagpur,medium,spring,9,poor,True,high,0.64,44
Bengaluru,medium,spring,8,good,False,medium,0.31,23
Mumbai,critical,winter,12,average,False,medium,0.48,42
Hyderabad,low,spring,5,average,False,medium,0.94,20
Kolkata,high,monsoon,9,poor,False,medium,0.73,50
Bhubaneswar,high,summer,9,poor,True,high,0.48,63
Nagpur,medium,spring,7,poor,True,high,0.95,45
Nagpur,medium,winter,6,poor,True,high,0.7,39
Bhubaneswar,high,summer,10,poor,True,high,0.37,63
Patna,critical,monsoon,12,poor,True,low,0.39,65
Hyderabad,low,summer,4,average,False,medium,0.43,20
Pune,low,summer,4,average,False,low,0.52,20
Mumbai,critical,spring,13,average,False,low,0.34,41
Patna,critical,monsoon,13,poor,True,high,0.3,65
Patna,critical,winter,13,poor,True,high,0.9,65
Kolkata,high,monsoon,9,poor,False,low,0.82,50
Chennai,high,spring,9,average,False,low,0.62,33
Mumbai,critical,monsoon,9,average,False,low,0.42,50
Hyderabad,low,spring,3,average,False,high,0.85,20
Kolkata,high,monsoon,11,poor,False,medium,0.76,50
Pune,low,summer,7,average,False,high,0.4,21
Kolkata,high,monsoon,11,poor,False,low,1.0,50
Chennai,high,winter,7,average,False,high,0.58,36
Mumbai,critical,winter,11,average,False,medium,0.44,41
Chennai,high,summer,11,average,False,medium,0.89,42
Mumbai,critical,monsoon,9,average,False,medium,0.8,50
Delhi,medium,monsoon,9,good,False,high,0.58,36
Kolkata,high,winter,11,poor,False,high,0.53,44
Pune,low,winter,6,average,False,medium,0.49,20
Delhi,medium,spring,6,good,False,low,0.99,23
Delhi,medium,winter,10,good,False,high,0.69,26
Mumbai,critical,spring,11,average,False,low,0.31,40
Kolkata,high,summer,12,poor,False,low,0.92,45
Nagpur,medium,monsoon,7,poor,True,medium,0.72,51
Bengaluru,medium,spring,8,good,False,medium,0.44,24
Pune,low,spring,5,average,False,low,0.74,20
Chennai,high,winter,11,average,False,low,0.39,29
Mumbai,critical,spring,13,average,False,medium,0.92,48
Hyderabad,low,spring,5,average,False,medium,0.88,20
Mumbai,critical,winter,12,average,False,high,0.54,46
Patna,critical,monsoon,14,poor,True,low,0.96,65
Kolkata,high,spring,8,poor,False,medium,0.7,44
Pune,low,spring,4,average,False,medium,0.32,20
Patna,critical,spring,11,poor,True,high,0.58,65
Patna,critical,monsoon,12,poor,True,medium,0.99,65
Bhubaneswar,high,summer,12,poor,True,medium,0.49,58
Kolkata,high,monsoon,12,poor,False,medium,0.7,50
Kolkata,high,monsoon,8,poor,False,high,0.76,50
Bhubaneswar,high,spring,12,poor,True,medium,0.4,52
Patna,critical,winter,12,poor,True,medium,0.72,61
Patna,critical,summer,11,poor,True,high,0.89,65
Hyderabad,low,spring,4,average,False,medium,0.33,20
Kolkata,high,winter,8,poor,False,low,0.36,34
Mumbai,critical,monsoon,13,average,False,high,0.89,50
Bengaluru,medium,summer,6,good,False,low,0.73,24
Kolkata,high,monsoon,12,poor,False,high,0.49,50
Bengaluru,medium,winter,6,good,False,low,0.89,21
Delhi,medium,summer,7,good,False,medium,0.37,26
Patna,critical,spring,10,poor,True,high,0.65,65
Nagpur,medium,monsoon,5,poor,True,low,0.35,43
Delhi,medium,summer,9,good,False,low,0.49,24
Delhi,medium,spring,8,good,False,high,0.36,26
Chennai,high,summer,7,average,False,medium,0.78,41
Chennai,high,winter,10,average,False,medium,0.97,35
Mumbai,critical,spring,13,average,False,high,0.76,50
Kolkata,high,spring,8,poor,False,medium,0.64,44
Bhubaneswar,high,summer,12,poor,True,medium,0.33,57
Bhubaneswar,high,spring,8,poor,True,low,0.69,47
Kolkata,high,monsoon,12,poor,False,low,0.51,50
Nagpur,medium,monsoon,7,poor,True,low,0.86,46
Bengaluru,medium,winter,6,good,False,medium,0.67,22
Pune,low,summer,6,average,False,high,0.35,21
Hyderabad,low,winter,4,average,False,low,0.58,20
Pune,low,winter,4,average,False,high,0.76,20
Delhi,medium,summer,10,good,False,medium,0.91,29
Delhi,medium,winter,8,good,False,medium,0.99,24
Pune,low,summer,8,average,False,medium,0.96,22
Mumbai,critical,winter,12,average,False,high,0.84,48
Hyderabad,low,spring,3,average,False,low,0.58,20
Patna,critical,winter,13,poor,True,high,0.81,65
Chennai,high,winter,11,average,False,medium,0.51,33
Delhi,medium,spring,7,good,False,medium,0.71,25
Chennai,high,summer,7,average,False,low,0.57,35
Nagpur,medium,spring,8,poor,True,low,0.96,37
Hyderabad,low,winter,6,average,False,medium,0.99,20
Nagpur,medium,winter,9,poor,True,medium,0.42,35
Bengaluru,medium,spring,6,good,False,high,0.75,28
Hyderabad,low,winter,7,average,False,medium,0.46,20
Delhi,medium,summer,7,good,False,high,0.43,29
Mumbai,critical,spring,13,average,False,high,0.74,50
Pune,low,summer,4,average,False,low,0.72,20
Chennai,high,summer,9,average,False,medium,0.66,41
Delhi,medium,monsoon,6,good,False,low,0.87,29
Kolkata,high,summer,12,poor,False,low,0.32,42
Bengaluru,medium,monsoon,8,good,False,medium,0.62,32
Nagpur,medium,winter,7,poor,True,high,0.92,41
Patna,critical,monsoon,13,poor,True,medium,0.87,65
Nagpur,medium,summer,9,poor,True,low,0.36,38
Nagpur,medium,spring,7,poor,True,high,0.33,42
Delhi,medium,monsoon,10,good,False,high,0.93,38
Chennai,high,monsoon,11,average,False,medium,0.71,49
Bhubaneswar,high,winter,9,poor,True,low,0.91,44
Chennai,high,monsoon,9,average,False,high,0.41,50
Patna,critical,summer,12,poor,True,high,0.79,65
Bhubaneswar,high,spring,10,poor,True,medium,0.43,52
Hyderabad,low,winter,7,average,False,medium,0.63,20
Pune,low,monsoon,5,average,False,low,0.46,20
Pune,low,winter,5,average,False,medium,0.88,20
Pune,low,monsoon,8,average,False,medium,0.53,23
Patna,critical,summer,11,poor,True,high,0.85,65
Kolkata,high,winter,9,poor,False,high,0.97,46
Hyderabad,low,summer,6,average,False,medium,0.96,21
Chennai,high,spring,7,average,False,medium,0.63,36
Kolkata,high,monsoon,10,poor,False,medium,0.91,50
Bengaluru,medium,winter,6,good,False,high,0.57,24
Chennai,high,monsoon,9,average,False,low,0.78,43
Bhubaneswar,high,monsoon,9,poor,True,high,0.96,65
Mumbai,critical,summer,9,average,False,low,0.67,45
Bengaluru,medium,spring,5,good,False,low,0.78,22
Kolkata,high,winter,10,poor,False,low,0.97,37
Nagpur,medium,spring,9,poor,True,high,0.94,46
Hyderabad,low,winter,6,average,False,medium,0.83,20
Hyderabad,low,winter,5,average,False,high,0.52,20
Kolkata,high,winter,9,poor,False,high,0.44,43
Chennai,high,summer,10,average,False,medium,0.91,42
Nagpur,medium,spring,5,poor,True,high,0.36,41
Nagpur,medium,winter,7,poor,True,medium,0.67,35
Pune,low,winter,8,average,False,high,0.94,20
Bhubaneswar,high,winter,11,poor,True,medium,0.62,48
Pune,low,summer,7,average,False,high,0.44,21
Patna,critical,spring,14,poor,True,high,0.71,65
Nagpur,medium,winter,9,poor,True,high,0.31,38
Delhi,medium,monsoon,7,good,False,medium,0.98,34
Kolkata,high,spring,10,poor,False,high,0.83,50
Kolkata,high,summer,10,poor,False,medium,0.82,50
Patna,critical,summer,13,poor,True,high,0.7,65
Kolkata,high,monsoon,11,poor,False,high,0.69,50
Delhi,medium,spring,6,good,False,medium,0.67,24
Patna,critical,summer,10,poor,True,high,0.36,65
Kolkata,high,winter,9,poor,False,medium,0.7,40
Bhubaneswar,high,monsoon,9,poor,True,medium,0.42,65
Chennai,high,spring,9,average,False,high,0.79,42
Kolkata,high,summer,8,poor,False,low,0.73,43
Patna,critical,monsoon,13,poor,True,medium,0.74,65
Bengaluru,medium,monsoon,6,good,False,low,0.36,27
Bengaluru,medium,spring,7,good,False,medium,0.87,26
Bhubaneswar,high,winter,10,poor,True,low,0.67,43
Bhubaneswar,high,monsoon,10,poor,True,medium,0.34,65
Pune,low,spring,8,average,False,high,0.91,22
Bhubaneswar,high,winter,11,poor,True,high,0.43,52
Pune,low,summer,6,average,False,medium,0.31,20
Mumbai,critical,monsoon,13,average,False,high,0.65,50
Bhubaneswar,high,winter,10,poor,True,high,0.35,52
Chennai,high,winter,10,average,False,high,0.91,39
Bhubaneswar,high,summer,11,poor,True,high,0.54,64
Bengaluru,medium,spring,5,good,False,high,0.66,27
Patna,critical,spring,11,poor,True,high,0.58,65
Bengaluru,medium,monsoon,5,good,False,medium,0.76,32
Mumbai,critical,winter,10,average,False,medium,0.55,41
Mumbai,critical,summer,10,average,False,high,0.81,50
Mumbai,critical,monsoon,12,average,False,medium,0.43,50
Delhi,medium,winter,10,good,False,high,0.35,24
Patna,critical,monsoon,13,poor,True,high,0.61,65
Nagpur,medium,winter,5,poor,True,medium,0.37,33
Chennai,high,winter,7,average,False,high,0.58,36
Mumbai,critical,summer,13,average,False,low,0.71,46
Nagpur,medium,spring,9,poor,True,low,0.62,35
Bhubaneswar,high,winter,9,poor,True,high,0.54,52
Patna,critical,summer,14,poor,True,low,0.96,65
Patna,critical,spring,13,poor,True,high,0.72,65
Hyderabad,low,spring,7,average,False,high,0.89,22
Nagpur,medium,spring,8,poor,True,low,0.38,34
Delhi,medium,monsoon,7,good,False,high,0.67,36
Bengaluru,medium,monsoon,8,good,False,high,0.39,34
Kolkata,high,summer,12,poor,False,low,0.52,43
Chennai,high,winter,10,average,False,medium,0.58,33
Delhi,medium,spring,8,good,False,low,0.31,21
Patna,critical,monsoon,14,poor,True,high,0.71,65
Nagpur,medium,winter,7,poor,True,medium,0.54,35
Kolkata,high,spring,12,poor,False,medium,0.44,44
Pune,low,spring,5,average,False,high,0.37,20
Nagpur,medium,summer,9,poor,True,low,0.42,38
Delhi,medium,summer,7,good,False,low,0.78,25
Delhi,medium,monsoon,6,good,False,medium,0.91,33
Nagpur,medium,summer,8,poor,True,low,0.95,40
Bengaluru,medium,summer,4,good,False,low,0.96,25
Hyderabad,low,spring,7,average,False,high,0.37,20
Delhi,medium,monsoon,6,good,False,high,0.58,35
Patna,critical,summer,14,poor,True,low,0.82,65
Bengaluru,medium,monsoon,8,good,False,medium,0.53,32
Kolkata,high,winter,9,poor,False,medium,0.91,41
Pune,low,winter,8,average,False,low,0.56,20
Kolkata,high,winter,8,poor,False,high,0.53,43
Bhubaneswar,high,winter,12,poor,True,low,0.57,43
Patna,critical,summer,10,poor,True,high,0.61,65
Kolkata,high,monsoon,10,poor,False,low,0.42,50
Bhubaneswar,high,monsoon,8,poor,True,low,0.68,61
Nagpur,medium,spring,6,poor,True,medium,0.94,40
Bhubaneswar,high,summer,11,poor,True,high,0.58,65
Hyderabad,low,winter,6,average,False,low,0.58,20
Pune,low,monsoon,5,average,False,low,0.66,21
Hyderabad,low,winter,5,average,False,low,0.93,20
Hyderabad,low,spring,3,average,False,low,0.57,20
Bengaluru,medium,summer,8,good,False,medium,0.44,26
Bengaluru,medium,spring,8,good,False,medium,0.52,24
Mumbai,critical,spring,10,average,False,medium,0.8,47
Chennai,high,summer,10,average,False,medium,0.39,40
Pune,low,winter,7,average,False,medium,0.86,20
Pune,low,winter,4,average,False,medium,0.43,20
Nagpur,medium,spring,8,poor,True,medium,0.86,41
Chennai,high,spring,11,average,False,medium,0.38,36
Pune,low,monsoon,8,average,False,medium,0.72,24
Bhubaneswar,high,summer,9,poor,True,medium,0.55,57
Bhubaneswar,high,spring,8,poor,True,medium,0.48,52
Bengaluru,medium,monsoon,6,good,False,low,0.77,29
Delhi,medium,winter,9,good,False,medium,0.62,23
Delhi,medium,summer,6,good,False,low,0.91,25
Chennai,high,winter,11,average,False,high,0.42,36
Hyderabad,low,winter,5,average,False,low,0.68,20
Bhubaneswar,high,summer,12,poor,True,high,0.34,64
Patna,critical,monsoon,12,poor,True,low,0.79,65
Mumbai,critical,monsoon,13,average,False,low,0.81,50
Pune,low,spring,7,average,False,medium,0.37,20
Bhubaneswar,high,monsoon,9,poor,True,low,0.84,62
Bengaluru,medium,spring,8,good,False,high,0.72,28
Patna,critical,spring,10,poor,True,low,0.54,58
Pune,low,spring,8,average,False,high,0.88,22
Hyderabad,low,spring,5,average,False,high,0.49,20
Nagpur,medium,monsoon,7,poor,True,medium,0.46,50
Bhubaneswar,high,winter,9,poor,True,low,0.56,42
Kolkata,high,summer,10,poor,False,medium,0.61,49
Bengaluru,medium,spring,7,good,False,medium,0.97,26
Patna,critical,winter,11,poor,True,medium,0.6,60
Pune,low,spring,7,average,False,high,0.51,20
Nagpur,medium,spring,7,poor,True,medium,0.46,38
Mumbai,critical,spring,13,average,False,high,0.89,50
Hyderabad,low,spring,4,average,False,low,0.91,20
Hyderabad,low,spring,6,average,False,medium,0.41,20
Bengaluru,medium,summer,5,good,False,high,0.55,29
Hyderabad,low,monsoon,5,average,False,high,0.69,26
Mumbai,critical,spring,10,average,False,medium,0.66,46
Mumbai,critical,monsoon,11,average,False,low,0.99,50
Hyderabad,low,spring,4,average,False,low,0.58,20
Kolkata,high,monsoon,12,poor,False,low,0.77,50
Bhubaneswar,high,monsoon,10,poor,True,low,0.51,60
Patna,critical,winter,14,poor,True,low,0.42,53
Delhi,medium,winter,7,good,False,medium,0.98,24
Bhubaneswar,high,summer,9,poor,True,high,0.64,64
Chennai,high,spring,7,average,False,medium,0.93,38
Bengaluru,medium,winter,6,good,False,high,0.88,26
Hyderabad,low,monsoon,7,average,False,medium,0.65,24
Bengaluru,medium,summer,7,good,False,high,0.96,32
Bengaluru,medium,monsoon,8,good,False,low,0.75,29
Delhi,medium,spring,8,good,False,low,0.34,21
Mumbai,critical,monsoon,10,average,False,high,0.34,50
Delhi,medium,summer,6,good,False,low,0.47,23
Mumbai,critical,summer,9,average,False,medium,0.49,50
Pune,low,spring,7,average,False,high,0.66,20
Pune,low,spring,4,average,False,high,0.73,20
Bengaluru,medium,summer,7,good,False,medium,0.6,27
Hyderabad,low,spring,7,average,False,low,0.56,20
Kolkata,high,monsoon,12,poor,False,high,0.84,50
Pune,low,monsoon,6,average,False,high,0.31,24
Hyderabad,low,monsoon,4,average,False,low,0.73,21
Hyderabad,low,monsoon,4,average,False,high,0.98,27
Delhi,medium,summer,10,good,False,high,0.38,30
Hyderabad,low,spring,7,average,False,medium,0.39,20
Delhi,medium,spring,9,good,False,medium,0.63,25
Patna,critical,summer,13,poor,True,high,0.62,65
Hyderabad,low,monsoon,7,average,False,high,0.97,28
Chennai,high,spring,7,average,False,high,0.78,41
Chennai,high,monsoon,8,average,False,medium,0.48,47
Nagpur,medium,summer,8,poor,True,low,0.65,39
Nagpur,medium,winter,5,poor,True,low,0.92,32
Pune,low,spring,8,average,False,low,0.37,20
Chennai,high,winter,11,average,False,high,0.33,36
Pune,low,winter,4,average,False,high,0.86,20
Mumbai,critical,spring,9,average,False,high,0.66,50
Nagpur,medium,monsoon,8,poor,True,low,0.98,47
Mumbai,critical,winter,11,average,False,low,0.42,36
Hyderabad,low,summer,4,average,False,medium,0.36,20
Chennai,high,winter,7,average,False,high,0.57,36
Delhi,medium,winter,6,good,False,medium,0.48,21
Patna,critical,summer,10,poor,True,medium,0.63,65
Delhi,medium,monsoon,10,good,False,low,0.99,31
Kolkata,high,summer,12,poor,False,low,0.66,44
Delhi,medium,winter,7,good,False,low,0.38,20
Delhi,medium,winter,6,good,False,high,0.56,24
Bhubaneswar,high,summer,9,poor,True,medium,0.49,57
Bengaluru,medium,summer,7,good,False,low,0.92,25
Nagpur,medium,summer,7,poor,True,medium,0.87,44
Pune,low,winter,4,average,False,high,0.68,20
Hyderabad,low,summer,7,average,False,medium,0.89,21
Nagpur,medium,monsoon,8,poor,True,low,0.52,45
Kolkata,high,winter,8,poor,False,medium,0.68,40
Delhi,medium,monsoon,10,good,False,high,0.81,37
Delhi,medium,winter,8,good,False,low,0.89,21
Kolkata,high,winter,12,poor,False,high,0.82,46
Mumbai,critical,winter,11,average,False,low,0.78,38
Pune,low,spring,4,average,False,high,0.41,20
Bhubaneswar,high,monsoon,8,poor,True,high,0.92,65
Bengaluru,medium,spring,6,good,False,medium,0.76,25
Patna,critical,monsoon,14,poor,True,medium,0.73,65
Delhi,medium,summer,10,good,False,high,0.69,31
Kolkata,high,monsoon,9,poor,False,medium,0.32,50
Chennai,high,monsoon,7,average,False,medium,0.83,48
Bengaluru,medium,winter,6,good,False,low,0.51,20
Nagpur,medium,winter,9,poor,True,medium,0.56,35
Bengaluru,medium,spring,5,good,False,medium,0.72,24
Hyderabad,low,monsoon,7,average,False,medium,0.79,24
Hyderabad,low,monsoon,6,average,False,high,0.57,26
Chennai,high,winter,10,average,False,high,0.75,38
Nagpur,medium,summer,6,poor,True,low,0.79,39
Nagpur,medium,monsoon,6,poor,True,medium,0.86,52
Mumbai,critical,summer,11,average,False,medium,0.79,50
Bhubaneswar,high,monsoon,12,poor,True,low,0.88,63
